category,configuration,recall_at_1,recall_at_5,mrr,ndcg_at_5,average_retrieval_latency,average_retrieved_memory_count
identity,dense,0.001695,0.004227,0.004788,0.003722,3.988512,5.0
identity,dense_query_analysis,0.002028,0.004227,0.006102,0.00413,5.885968,5.0
identity,dense_expansion,0.002028,0.004227,0.006102,0.00413,5.789442,5.0
identity,dense_sparse,0.111182,0.236673,0.179732,0.183587,38.462637,5.0
identity,dense_sparse_reranker,0.144021,0.254608,0.208531,0.208177,26.895874,5.0
identity,full_retrieval_v2,0.144021,0.254608,0.208785,0.208383,28.048611,5.0
relationship,dense,0.004566,0.006849,0.006088,0.005966,4.064811,5.0
relationship,dense_query_analysis,0.004566,0.006849,0.006088,0.005966,5.569301,5.0
relationship,dense_expansion,0.004566,0.006849,0.006088,0.005966,5.682676,5.0
relationship,dense_sparse,0.125761,0.294517,0.216971,0.22087,58.3588,5.0
relationship,dense_sparse_reranker,0.152397,0.358444,0.264688,0.27086,37.451075,5.0
relationship,full_retrieval_v2,0.152397,0.36301,0.268341,0.274855,37.262293,5.0
preference,dense,0.0,0.0,0.0,0.0,3.952846,5.0
preference,dense_query_analysis,0.0,0.0,0.0,0.0,5.899285,5.0
preference,dense_expansion,0.0,0.0,0.0,0.0,5.778551,5.0
preference,dense_sparse,0.105634,0.303991,0.186854,0.207643,46.966508,5.0
preference,dense_sparse_reranker,0.133803,0.31338,0.207512,0.226541,32.804813,5.0
preference,full_retrieval_v2,0.133803,0.31338,0.207512,0.226541,35.654834,5.0
temporal,dense,0.002169,0.008315,0.004953,0.00548,3.845966,5.0
temporal,dense_query_analysis,0.002169,0.008315,0.004953,0.00548,5.661966,5.0
temporal,dense_expansion,0.002169,0.008315,0.004953,0.00548,5.997146,5.0
temporal,dense_sparse,0.173897,0.313087,0.232972,0.24946,42.108617,5.0
temporal,dense_sparse_reranker,0.211858,0.341829,0.268872,0.283532,29.947758,5.0
temporal,full_retrieval_v2,0.214027,0.343999,0.271511,0.286323,28.894452,5.0
multi-hop,dense,0.00021,0.026463,0.030208,0.021918,3.774431,5.0
multi-hop,dense_query_analysis,0.00021,0.021254,0.026042,0.018772,5.375883,5.0
multi-hop,dense_expansion,0.00021,0.021254,0.026042,0.018772,5.843365,5.0
multi-hop,dense_sparse,0.156944,0.236505,0.247222,0.217445,41.119569,5.0
multi-hop,dense_sparse_reranker,0.162153,0.278172,0.265278,0.236195,30.439967,5.0
multi-hop,full_retrieval_v2,0.162153,0.278172,0.263542,0.234751,31.491625,5.0
